MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Vtas Unds,"3,479,498","4,491,063"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"12,504,427","12,527,483"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Vtas Unds,"1,090,431","1,395,367"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Unds,"17,792,216","19,294,078"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"1,749,901","2,237,824"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas Valor - CATEGORIA,7.9%,8.8%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,30.3%,28.6%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Part. de Vtas Valor - CATEGORIA,3.7%,4.6%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Valor - CATEGORIA,40.1%,39.5%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,5.7%,6.9%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas (MULTI) - CATEGORIA,8.1%,8.7%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,29.0%,27.5%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Part. de Vtas (MULTI) - CATEGORIA,4.0%,5.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas (MULTI) - CATEGORIA,41.1%,40.7%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,5.2%,6.4%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas Unds - CATEGORIA,8.4%,10.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,30.2%,28.0%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Part. de Vtas Unds - CATEGORIA,2.6%,3.1%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Unds - CATEGORIA,42.9%,43.1%
